	Frequency [Hz]	Amplitude [mm/s]	Phase Angle [°]	
282	516.72	4.7919e-003	176.38	
283	516.77	4.7968e-003	175.83	
284	516.8	4.7995e-003	175.49	
285	516.85	4.8035e-003	174.95	
286	516.91	4.807e-003	174.41	
287	516.94	4.8089e-003	174.08	
288	516.99	4.8116e-003	173.53	
289	517.07	4.8149e-003	172.64	
290	517.21	4.8173e-003	171.2	
291	517.44	4.8139e-003	168.88	
292	517.8	4.7891e-003	165.15	
293	518.39	4.7031e-003	159.31	
294	519.35	4.4701e-003	150.64	
295	520.91	3.9715e-003	139.14	
296	523.44	3.1828e-003	126.64	
297	527.55	2.2829e-003	116.45	
298	529.39	2.0026e-003	114.26	
299	530.93	1.8067e-003	113.25	
300	535.1	1.4186e-003	114.5	
301	537.7	1.291e-003	118.63	
302	539.31	1.2803e-003	121.55	
303	540.31	1.3013e-003	122.56	
304	540.93	1.3207e-003	122.63	
305	541.31	1.3333e-003	122.44	
306	541.54	1.3409e-003	122.23	
307	541.69	1.3454e-003	122.07	
308	541.78	1.3481e-003	121.95	
309	541.83	1.3497e-003	121.88	
310	541.87	1.3506e-003	121.83	
311	541.92	1.3521e-003	121.76	
312	541.97	1.3536e-003	121.68	
313	542.01	1.3545e-003	121.63	
314	542.06	1.356e-003	121.54	
315	542.15	1.3582e-003	121.39	
316	542.3	1.3616e-003	121.14	
317	542.53	1.3663e-003	120.69	
318	542.91	1.3716e-003	119.87	
319	543.53	1.3735e-003	118.38	
320	544.54	1.3594e-003	115.82	
321	546.17	1.3022e-003	112.03	
322	548.83	1.1749e-003	107.84	
323	553.13	9.7925e-004	104.94	
324	554.78	9.1406e-004	104.62	
325	556.13	8.6382e-004	104.61	
326	560.49	7.1597e-004	106.12	
327	563.21	6.3065e-004	108.65	
328	564.9	5.7921e-004	111.27	
329	565.95	5.4829e-004	113.54	
330	566.59	5.2993e-004	115.28	
331	566.99	5.1905e-004	116.5	
332	567.24	5.1256e-004	117.32	
333	567.39	5.0866e-004	117.84	
334	567.48	5.063e-004	118.18	
335	567.54	5.0487e-004	118.39	
336	567.58	5.0399e-004	118.52	
337	567.63	5.0259e-004	118.73	
338	567.69	5.012e-004	118.95	
339	567.73	5.0034e-004	119.08	
340	567.78	4.9896e-004	119.31	
341	567.88	4.9675e-004	119.67	
342	568.03	4.9324e-004	120.29	
343	568.27	4.878e-004	121.33	
344	568.67	4.7969e-004	123.14	
345	569.32	4.688e-004	126.4	
346	570.38	4.5883e-004	132.47	
347	572.09	4.7116e-004	143.64	
348	573.78	5.3137e-004	153.9	
349	575.41	6.4309e-004	159.97	
350	577.14	8.1067e-004	160.29	
351	578.21	9.2444e-004	157.29	
352	578.87	9.9048e-004	154.42	
353	579.28	1.0274e-003	152.34	
354	579.53	1.0481e-003	150.96	
